year,country_id,country_name,population,gdp,gdp_per_capita,stability,democracy,corruption,unemployment,net_migration,birth_rate,death_rate,inflation,resource_reserve_index
1,0,Narnia,2145421,387237092.29,180.49,76.99,49.25,26.08,7.98,-9321,0.0161,0.0227,0.0314,0.03
1,1,Quartz Valley,2004765,365399695.00,182.27,78.35,66.48,94.44,8.17,-10449,0.0157,0.0195,0.0266,0.09
1,2,Praetoria,28110466,10276336358.26,365.57,58.74,32.77,3.44,8.07,-176973,0.0073,0.0222,0.0224,0.10
1,3,Jadestone,22170663,11806929603.57,532.55,34.06,36.24,21.32,11.84,-187092,0.0086,0.0194,0.0388,0.11
1,4,Underdark,20635146,3336677304.63,161.70,64.57,67.76,85.38,14.50,-152141,0.0143,0.0130,0.0282,0.61
1,5,Gondolin,234344488,86768025647.28,370.26,36.90,45.05,91.56,24.69,-2275567,0.0124,0.0163,0.0156,0.78
1,6,Borealis,2586941,662559427.11,256.12,44.08,40.19,6.84,15.68,-15534,0.0102,0.0155,0.0307,0.14
1,7,Valhalla,13284338,2116677126.37,159.34,25.99,53.86,29.51,10.53,-72897,0.0069,0.0121,0.0224,0.25
1,8,Midgard,4131342,1314748233.66,318.24,50.98,75.01,23.33,10.06,-6687,0.0134,0.0186,0.0275,0.05
1,9,Zul'Gurub,338837713,50122063716.23,147.92,51.81,71.67,72.85,24.77,-3286243,0.0080,0.0231,0.0215,14.70
1,10,Blackrock,12779051,2663924810.48,208.46,35.57,19.90,90.38,19.47,-316470,0.0146,0.0211,0.0183,0.36
1,11,Ys,14069834,5015492290.91,356.47,68.81,78.39,75.13,16.13,-51362,0.0126,0.0135,0.0210,0.29
1,12,Kestrel,2540953,983072052.65,386.89,81.28,68.38,27.52,1.50,-8672,0.0226,0.0140,0.0201,0.05
1,13,Phoenix Rise,11224081,4368496829.51,389.21,72.61,78.67,2.60,20.83,-10217,0.0274,0.0334,0.0292,0.05
1,14,Pandora,423478826,116887231203.08,276.02,72.91,54.05,78.93,14.37,-2155152,0.0292,0.0217,0.0251,7.06
1,15,Oz,29442412,9017216123.05,306.27,50.01,70.48,2.12,16.19,-88167,0.0192,0.0204,0.0298,0.22
